type;brick;family;class;segment;FamilyId;OperationCode
sac;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9953611;CNOIR17
sandales à talons compensés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8869476;BUFFALO28
soutien-gorge classique;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340657;ETAM57
bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9720875;HACKETT25
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8868956;ALEXANDER1
caleçon technique;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484110;FREDDY9
chaussettes de sport;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10246609;LEGEA1
chaussures montantes de randonnée;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9567861;GEOX32
manteau;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183070;BERSHKA34
pantalon cargo;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10625419;BERSHKA35
slip brésilien;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10016062;MAISONLEJABY11
bottes;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247680;AGUARDIANI13
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;10002284;ISOTONER37
coupe-vent;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10520976;BROOKSFIELD4
gants;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;8715720;ALUXE15
mocassins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945058;ADELLACQUA3
pull sans manches;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10031834;BBROTHERS15
soutien-gorge classique;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10278316;JROBIN7
soutien-gorge triangle;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10333715;BMOON39
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10357395;MPTRIBU1
veste matelassée;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10080614;FACONNABLE43
bermuda de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080453;FACONNABLE43
bottes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8715704;ALUXE15
chaussettes hautes;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10433945;RENOMA18
"chaussures de fitness ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9934397;SKECHERS9
chaussures de sport;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10484259;FREDDY9
chemise;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250336;AAPPAREL5
escarpins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374592;ABRILFLOWERS1
mitaines;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;10336371;LOLLIPOPS33
veste matelassée;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10362814;LASPORTIVA6
bottillons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9983128;ASTER17
boxer;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;9990020;BONOBO10
débardeur;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340594;ETAM57
housse pour ordinateur;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10763343;PICARD20
jean 7/8;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10129759;REPLAY59
pantalon chino;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10031859;BBROTHERS15
robe pull;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9877949;MFLOVING8
sac de sport;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10183823;BERSHKA34
sous-pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258014;ADAGATTI7
soutien-gorge;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10340239;ETAM57
blouson sans manches;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10314729;CHERVO21
casque de moto intégral;"Vêtements de Sport – Coiffes ";Vêtements de Sport;Vêtements;Vêtements;10181668;SPARCO23
chaussures de futsal;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9408467;PDORO19
parka;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9990195;BONOBO10
sac fermoir;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10130484;ISATO2
set de 3 valises;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087383;JLSCHERRER31
short de running;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484187;FREDDY9
slip;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10092199;BBARDOT5
t-shirt;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250501;AAPPAREL5
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9538366;BALLY8
bottes;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9850060;ALDO13
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9247689;AGUARDIANI13
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;5302286;CASTANER13
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8868930;ALEXANDER1
cabas;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10078614;ACARDONE5
caleçon;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10080021;FACONNABLE43
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10080817;FACONNABLE43
sac cartable;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10183864;BERSHKA34
sacoche d'ordinateur;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844258;ARUIZ88
top;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10156706;KEUROSWAN19
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10246522;LEGEA1
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183491;BERSHKA34
t-shirt;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10156701;KEUROSWAN19
chaussettes hautes;"Chaussettes ";Sous–vêtements;Vêtements;Vêtements;10378433;ADIDAS67
cycliste;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183899;BERSHKA34
gilet sans manches;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183615;BERSHKA34
poncho;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9548787;CHARLISE3
robe;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9638803;SSWAROVSKI2
robe de plage;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10262630;SLOGGI28
bermuda de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10257397;NANOS18
chemise;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250450;AAPPAREL5
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250461;AAPPAREL5
derbies à boucle;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247745;AGUARDIANI13
legging 7/8;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484085;FREDDY9
pantacourt;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10314521;CHERVO21
pantalon de running;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10625736;BERSHKA35
pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250447;AAPPAREL5
sacoche pour tablette;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10763316;PICARD20
teddy;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10263548;CDSPORTS3
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183688;BERSHKA34
valise moyen séjour;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10342137;ALPINI1
bloomer;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10257450;NANOS18
cardigan;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9447479;BORBONESE5
chaussures montantes de fitness;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;10484257;FREDDY9
combinaison de ski;"Vêtements de Sport – Vêtements d’une Pièce ";Vêtements de Sport;Vêtements;Vêtements;10246665;LEGEA1
cuissardes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;6952810;CASTANER16
derbies à boucle;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10131516;AMATIREGAZZI1
derbies à boucle;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8885822;BAQIETTO1
sac fermoir;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10130374;ISATO2
sandales;Chaussures d'Intérieur – Entièrement Fermées;Chaussures d'Intérieur;Chaussures;Chaussures;10685255;STONEFLY8
semelles;Footwear Inserts;Accessoires à Chaussures;Chaussures;Chaussures;9037766;LADYSSECRET1
slip de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333729;BMOON39
blouson;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183217;BERSHKA34
cartable;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;6531388;JLSCHERRER31
chaussures montantes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10378807;ADIDAS67
cuissard de cyclisme;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10246495;LEGEA1
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;9548457;CHARLISE3
jupe-culotte;Jupes;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10183374;BERSHKA34
pantalon;"Pantalons/Shorts de Nuit ";Vêtements de Nuit;Vêtements;Vêtements;10340594;ETAM57
sac à coulisse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844326;ARUIZ88
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;6516409;JLSCHERRER31
sandales à talons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9247707;AGUARDIANI13
sarouel;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10471874;PURELIN3
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080473;FACONNABLE43
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9457061;AS984
corsaire de running;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484100;FREDDY9
culotte;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10340361;ETAM57
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;9548911;CHARLISE3
embauchoirs;Shoe Cleaning/Care Preparations;Accessoires à Chaussures;Chaussures;Chaussures;9037804;LADYSSECRET1
espadrilles;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850707;ALDO13
sandales à talons compensés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8869505;BUFFALO28
top;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10483889;FREDDY9
veste matelassée;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10362845;LASPORTIVA6
legging 7/8;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484078;FREDDY9
pantalon;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10410867;BIKKEMBERGS38
parka;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10257499;NANOS18
porte-documents;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991663;ANTONYME4
sacoche;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10763329;PICARD20
salopette;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;9638815;SSWAROVSKI2
babies;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9413263;AYNEOSENS9
bandeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10183788;BERSHKA34
besace;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9447968;BATA16
boléro;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10257431;NANOS18
bottines;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;8711184;GOODWINSMITH1
boxer de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333712;BMOON39
sac banane;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9697339;MDUCK17
sneakers;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945095;ADELLACQUA3
soutien-gorge triangle;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340761;ETAM57
tanga de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10333351;BMOON39
brassière;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10333709;BMOON39
chapeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;9989761;BONOBO10
débardeur de basket-ball;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10246631;LEGEA1
écharpe;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9548792;CHARLISE3
mules;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10300411;AGUARDIANI14
robe longue;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10065873;BANBAT3
besace;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9447928;BATA16
blouse;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258136;ADAGATTI7
chapeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10183840;BERSHKA34
chaussures ouvertes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5623130;PABLOSKY18
cuissardes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;6952777;CASTANER16
manchons;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;9413313;AYNEOSENS9
sneakers montantes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945034;ADELLACQUA3
soutien-gorge bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707327;ROSY19
sweat à capuche;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;10246533;LEGEA1
polaire;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10483947;FREDDY9
poncho;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258008;ADAGATTI7
sac à dos;Sacs à Dos de Randonnée / Sacs à Dos / Sacs de Voyage;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9991705;ANTONYME4
sac de sport;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380763;FAGUO9
sac seau;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9668083;ACARDONE4
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10240343;ARCHE12
bandeau;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340699;ETAM57
bustier;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10092185;BBARDOT5
chemise de nuit;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340329;ETAM57
coupe-vent;Vêtements de Sport - Vestes/blousons/sweats;Vêtements de Sport;Vêtements;Vêtements;7842100;AAPPAREL5
débardeur;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;9989869;BONOBO10
paréo;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10431120;TCOLLECTION4
shorty de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10278284;JROBIN7
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10065706;BANBAT3
veste courte;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183880;BERSHKA34
blouson;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10031857;BBROTHERS15
chaussures de randonnée;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10362821;LASPORTIVA6
combishort;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183126;BERSHKA34
débardeur;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10333556;BMOON39
manteau;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183205;BERSHKA34
robe portefeuille;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183258;BERSHKA34
sac bourse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10136106;PMENDIGOTE10
sac bowling;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10753704;CPAZOLINI1
t-shirt;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183652;BERSHKA34
béret;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;9672338;MENSHERITAGE5
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9785719;BAGLLERINA3
"chaussures de golf ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9934472;SKECHERS9
foulard;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10473152;AZZARO45
mocassins;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9945051;ADELLACQUA3
